Month,Customer,Customer_Type,Customer_Age,Product,Product_Type,Revenue,,,,,,,,,,,,,,,,
2021-02-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,39732.5,,,,,,,,,,,,,,,,
2020-10-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,39277.5,,,,,,,,,,,,,,,,
2021-01-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,36262.5,,,,,,,,,,,,,,,,
2020-07-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,35072.5,,,,,,,,,,,,,,,,
2020-12-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,34727.5,,,,,,,,,,,,,,,,
2020-03-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,34720,,,,,,,,,,,,,,,,
2020-06-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,33340,,,,,,,,,,,,,,,,
2020-08-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,33305,,,,,,,,,,,,,,,,
2020-09-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,33295,,,,,,,,,,,,,,,,
2020-11-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,32475,,,,,,,,,,,,,,,,
2020-01-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,30397.5,,,,,,,,,,,,,,,,
2020-05-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,26885,,,,,,,,,,,,,,,,
2020-02-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,26542.5,,,,,,,,,,,,,,,,
2021-03-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,23612.5,,,,,,,,,,,,,,,,
2023-03-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,20852.5,,,,,,,,,,,,,,,,
2022-10-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,20480,,,,,,,,,,,,,,,,
2021-06-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,20400,,,,,,,,,,,,,,,,
2021-04-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,20280,,,,,,,,,,,,,,,,
2022-07-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,20160,,,,,,,,,,,,,,,,
2021-02-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,19970,,,,,,,,,,,,,,,,
2022-08-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,19920,,,,,,,,,,,,,,,,
2021-05-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,19790,,,,,,,,,,,,,,,,
2023-01-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,19757.5,,,,,,,,,,,,,,,,
2022-06-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,19652.5,,,,,,,,,,,,,,,,
2020-04-01,InvestWise Ventures,Research,>= 1 Year,an_m7,Analysis,19292.5,,,,,,,,,,,,,,,,
2022-09-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,19280,,,,,,,,,,,,,,,,
2021-01-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,19110,,,,,,,,,,,,,,,,
2022-05-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,18962.5,,,,,,,,,,,,,,,,
2023-06-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,18842.5,,,,,,,,,,,,,,,,
2021-08-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,18837.5,,,,,,,,,,,,,,,,
2023-05-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,18690,,,,,,,,,,,,,,,,
2023-02-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,18375,,,,,,,,,,,,,,,,
2022-03-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,18355,,,,,,,,,,,,,,,,
2022-01-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,17807.5,,,,,,,,,,,,,,,,
2021-09-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,17485,,,,,,,,,,,,,,,,
2020-10-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,17420,,,,,,,,,,,,,,,,
2023-04-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,17302.5,,,,,,,,,,,,,,,,
2022-12-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,33395,,,,,,,,,,,,,,,,
2022-02-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,16477.5,,,,,,,,,,,,,,,,
2020-09-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,16442.5,,,,,,,,,,,,,,,,
2022-11-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,16282.5,,,,,,,,,,,,,,,,
2020-07-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,16225,,,,,,,,,,,,,,,,
2020-06-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,15990,,,,,,,,,,,,,,,,
2021-10-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,15932.5,,,,,,,,,,,,,,,,
2020-08-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,15500,,,,,,,,,,,,,,,,
2021-11-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,15295,,,,,,,,,,,,,,,,
2022-04-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,15170,,,,,,,,,,,,,,,,
2020-11-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,14712.5,,,,,,,,,,,,,,,,
2021-07-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,14112.5,,,,,,,,,,,,,,,,
2022-12-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,13720,,,,,,,,,,,,,,,,
2021-11-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,26480,,,,,,,,,,,,,,,,
2020-12-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,12470,,,,,,,,,,,,,,,,
2022-04-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,24215,,,,,,,,,,,,,,,,
2021-12-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,11785,,,,,,,,,,,,,,,,
2021-03-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,11242.5,,,,,,,,,,,,,,,,
2023-01-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,10852.5,,,,,,,,,,,,,,,,
2023-03-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,10340,,,,,,,,,,,,,,,,
2022-05-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,20590,,,,,,,,,,,,,,,,
2021-06-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,10270,,,,,,,,,,,,,,,,
2023-03-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,10125,,,,,,,,,,,,,,,,
2023-06-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,10082.5,,,,,,,,,,,,,,,,
2020-02-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,9810,,,,,,,,,,,,,,,,
2023-02-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9685,,,,,,,,,,,,,,,,
2021-03-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9652.5,,,,,,,,,,,,,,,,
2023-03-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,19275,,,,,,,,,,,,,,,,
2021-08-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9622.5,,,,,,,,,,,,,,,,
2023-01-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9622.5,,,,,,,,,,,,,,,,
2023-01-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,9600,,,,,,,,,,,,,,,,
2023-03-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,9550,,,,,,,,,,,,,,,,
2022-03-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9470,,,,,,,,,,,,,,,,
2021-09-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9400,,,,,,,,,,,,,,,,
2021-05-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9375,,,,,,,,,,,,,,,,
2022-10-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,9357.5,,,,,,,,,,,,,,,,
2023-05-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,18435,,,,,,,,,,,,,,,,
2021-04-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,9160,,,,,,,,,,,,,,,,
2020-01-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,9140,,,,,,,,,,,,,,,,
2021-01-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,9060,,,,,,,,,,,,,,,,
2020-07-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,9037.5,,,,,,,,,,,,,,,,
2021-04-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,9020,,,,,,,,,,,,,,,,
2023-06-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,18020,,,,,,,,,,,,,,,,
2021-02-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8982.5,,,,,,,,,,,,,,,,
2021-11-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8982.5,,,,,,,,,,,,,,,,
2021-02-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8935,,,,,,,,,,,,,,,,
2021-07-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8922.5,,,,,,,,,,,,,,,,
2020-09-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8892.5,,,,,,,,,,,,,,,,
2022-08-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8880,,,,,,,,,,,,,,,,
2021-01-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8827.5,,,,,,,,,,,,,,,,
2023-01-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8787.5,,,,,,,,,,,,,,,,
2020-06-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8785,,,,,,,,,,,,,,,,
2020-10-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8775,,,,,,,,,,,,,,,,
2023-06-01,EquiWealth Advisors,Consulting,>= 1 Year,an_m7,Analysis,8772.5,,,,,,,,,,,,,,,,
2023-02-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,8697.5,,,,,,,,,,,,,,,,
2023-02-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8680,,,,,,,,,,,,,,,,
2022-09-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8675,,,,,,,,,,,,,,,,
2023-03-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,17350,,,,,,,,,,,,,,,,
2022-03-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8660,,,,,,,,,,,,,,,,
2023-04-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8522.5,,,,,,,,,,,,,,,,
2022-04-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8510,,,,,,,,,,,,,,,,
2023-01-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,17020,,,,,,,,,,,,,,,,
2022-08-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8502.5,,,,,,,,,,,,,,,,
2023-05-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8497.5,,,,,,,,,,,,,,,,
2021-10-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8485,,,,,,,,,,,,,,,,
2023-05-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8425,,,,,,,,,,,,,,,,
2023-03-01,EquiWealth Advisors,Consulting,>= 1 Year,an_m7,Analysis,8417.5,,,,,,,,,,,,,,,,
2023-06-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,16810,,,,,,,,,,,,,,,,
2023-03-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,8395,,,,,,,,,,,,,,,,
2023-06-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8395,,,,,,,,,,,,,,,,
2022-10-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8322.5,,,,,,,,,,,,,,,,
2022-06-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,16580,,,,,,,,,,,,,,,,
2023-02-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,8285,,,,,,,,,,,,,,,,
2023-05-01,EquiWealth Advisors,Consulting,>= 1 Year,an_m7,Analysis,8277.5,,,,,,,,,,,,,,,,
2022-09-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8252.5,,,,,,,,,,,,,,,,
2022-05-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8240,,,,,,,,,,,,,,,,
2022-11-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8240,,,,,,,,,,,,,,,,
2022-06-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8190,,,,,,,,,,,,,,,,
2022-11-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,16375,,,,,,,,,,,,,,,,
2023-04-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8185,,,,,,,,,,,,,,,,
2023-02-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,16355,,,,,,,,,,,,,,,,
2022-06-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,8152.5,,,,,,,,,,,,,,,,
2022-04-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8122.5,,,,,,,,,,,,,,,,
2020-03-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,8112.5,,,,,,,,,,,,,,,,
2023-05-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8110,,,,,,,,,,,,,,,,
2022-02-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8100,,,,,,,,,,,,,,,,
2021-03-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8090,,,,,,,,,,,,,,,,
2022-08-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,8087.5,,,,,,,,,,,,,,,,
2020-05-01,MoneyMatters Management,Research,>= 1 Year,an_m7,Analysis,8067.5,,,,,,,,,,,,,,,,
2021-04-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,8027.5,,,,,,,,,,,,,,,,
2022-01-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8022.5,,,,,,,,,,,,,,,,
2023-06-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,8017.5,,,,,,,,,,,,,,,,
2022-11-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7990,,,,,,,,,,,,,,,,
2023-05-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,15980,,,,,,,,,,,,,,,,
2023-04-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,15965,,,,,,,,,,,,,,,,
2020-11-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,7965,,,,,,,,,,,,,,,,
2023-04-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7935,,,,,,,,,,,,,,,,
2022-09-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,7930,,,,,,,,,,,,,,,,
2022-10-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,7920,,,,,,,,,,,,,,,,
2021-09-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7900,,,,,,,,,,,,,,,,
2022-01-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7887.5,,,,,,,,,,,,,,,,
2022-10-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,7852.5,,,,,,,,,,,,,,,,
2022-12-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,7822.5,,,,,,,,,,,,,,,,
2022-11-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,7772.5,,,,,,,,,,,,,,,,
2023-01-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,15545,,,,,,,,,,,,,,,,
2023-01-01,EquiWealth Advisors,Consulting,>= 1 Year,an_m7,Analysis,7740,,,,,,,,,,,,,,,,
2021-08-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7730,,,,,,,,,,,,,,,,
2021-10-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7730,,,,,,,,,,,,,,,,
2022-02-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7720,,,,,,,,,,,,,,,,
2020-08-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,7692.5,,,,,,,,,,,,,,,,
2022-08-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,15365,,,,,,,,,,,,,,,,
2022-07-01,TrustPointe Wealth Management,Consulting,>= 1 Year,an_m7,Analysis,7640,,,,,,,,,,,,,,,,
2022-10-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,15095,,,,,,,,,,,,,,,,
2023-03-01,CapitalShift Finance,Consulting,>= 1 Year,an_m7,Analysis,7522.5,,,,,,,,,,,,,,,,
2022-06-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7507.5,,,,,,,,,,,,,,,,
2022-12-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,7502.5,,,,,,,,,,,,,,,,
2020-03-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,7490,,,,,,,,,,,,,,,,
2023-05-01,CapitalShift Finance,Consulting,>= 1 Year,an_m7,Analysis,7475,,,,,,,,,,,,,,,,
2022-09-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,14945,,,,,,,,,,,,,,,,
2022-07-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,7455,,,,,,,,,,,,,,,,
2023-06-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,7402.5,,,,,,,,,,,,,,,,
2021-11-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7362.5,,,,,,,,,,,,,,,,
2023-05-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,7355,,,,,,,,,,,,,,,,
2022-07-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,14630,,,,,,,,,,,,,,,,
2021-12-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,7287.5,,,,,,,,,,,,,,,,
2022-05-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,14510,,,,,,,,,,,,,,,,
2023-04-01,EquiWealth Advisors,Consulting,>= 1 Year,an_m7,Analysis,7220,,,,,,,,,,,,,,,,
2022-07-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7212.5,,,,,,,,,,,,,,,,
2021-10-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,7210,,,,,,,,,,,,,,,,
2022-01-01,TrustPointe Wealth Management,Consulting,>= 1 Year,an_m7,Analysis,7202.5,,,,,,,,,,,,,,,,
2022-06-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,14380,,,,,,,,,,,,,,,,
2023-06-01,CapitalShift Finance,Consulting,>= 1 Year,an_m7,Analysis,7170,,,,,,,,,,,,,,,,
2022-09-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,7152.5,,,,,,,,,,,,,,,,
2022-01-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,7117.5,,,,,,,,,,,,,,,,
2022-11-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,7062.5,,,,,,,,,,,,,,,,
2023-02-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,14090,,,,,,,,,,,,,,,,
2022-07-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,14085,,,,,,,,,,,,,,,,
2022-07-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,7032.5,,,,,,,,,,,,,,,,
2022-03-01,TrustPointe Wealth Management,Consulting,>= 1 Year,an_m7,Analysis,7030,,,,,,,,,,,,,,,,
2020-10-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,7027.5,,,,,,,,,,,,,,,,
2022-05-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,7000,,,,,,,,,,,,,,,,
2023-04-01,CapitalShift Finance,Consulting,>= 1 Year,an_m7,Analysis,6992.5,,,,,,,,,,,,,,,,
2021-07-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,6990,,,,,,,,,,,,,,,,
2021-06-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,6980,,,,,,,,,,,,,,,,
2022-03-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,13930,,,,,,,,,,,,,,,,
2023-04-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,13910,,,,,,,,,,,,,,,,
2022-08-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,13905,,,,,,,,,,,,,,,,
2022-08-01,TrustPointe Wealth Management,Consulting,>= 1 Year,an_m7,Analysis,6945,,,,,,,,,,,,,,,,
2021-09-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,6940,,,,,,,,,,,,,,,,
2022-09-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,13835,,,,,,,,,,,,,,,,
2022-12-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,6915,,,,,,,,,,,,,,,,
2021-06-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,6897.5,,,,,,,,,,,,,,,,
2020-08-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,6870,,,,,,,,,,,,,,,,
2023-02-01,EquiWealth Advisors,Consulting,>= 1 Year,an_m7,Analysis,6842.5,,,,,,,,,,,,,,,,
2022-03-01,SafeHaven Capital,Accounting,>= 1 Year,an_m7,Analysis,6840,,,,,,,,,,,,,,,,
2023-04-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,6825,,,,,,,,,,,,,,,,
2022-12-01,InvestWise Ventures,Research,>= 1 Year,vu_m5,Valuation,13485,,,,,,,,,,,,,,,,
2021-05-01,EquiGrowth Management,Accounting,>= 1 Year,an_m7,Analysis,6695,,,,,,,,,,,,,,,,
2022-09-01,TrustPointe Wealth Management,Consulting,>= 1 Year,an_m7,Analysis,6665,,,,,,,,,,,,,,,,
2021-07-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,6645,,,,,,,,,,,,,,,,
2021-03-01,CreditWise Solutions,Consulting,>= 1 Year,rp_m2,Reporting,13240,,,,,,,,,,,,,,,,
2022-01-01,DollarHarvest Holdings,Accounting,>= 1 Year,an_m7,Analysis,6610,,,,,,,,,,,,,,,,
2022-03-01,TrustPoint Finance,Wealth Management,>= 1 Year,ac_m2,Accounting,13220,,,,,,,,,,,,,,,,
2022-07-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,6587.5,,,,,,,,,,,,,,,,
2022-02-01,SafeHaven Capital,Accounting,>= 1 Year,an_m7,Analysis,6562.5,,,,,,,,,,,,,,,,
2022-03-01,TrueFunds Consultants,Wealth Management,>= 1 Year,an_m7,Analysis,6550,,,,,,,,,,,,,,,,
2020-07-01,BlueStar Investments,Consulting,>= 1 Year,an_m7,Analysis,6535,,,,,,,,,,,,,,,,
2023-03-01,FortunaFund Management,Consulting,>= 1 Year,rp_m2,Reporting,13030,,,,,,,,,,,,,,,,
